book_id,isbn,title,author_id,author_name,genre,publication_year,price,pages,format,in_stock,publisher
69,978-2-3874-2617-5,A Light,1482,Sophia Jones,Technology,2022,16.74,364,Paperback,True,Simon & Schuster
70,978-6-8100-7792-9,Bright Mystery Beyond Time,344,Linda Lewis,Fiction,1995,7.86,644,Hardcover,True,HarperCollins
71,978-6-3850-5761-3,Modern Mystery of Yesterday,30,Liam Anderson,Biography,2010,4.64,287,eBook,True,Hachette
72,978-6-9676-6192-4,Ancient Dream of the Night,1492,Noah Lee,Biography,2017,15.14,326,Hardcover,True,Macmillan
73,978-1-4041-3897-1,Dark Dream Through Time,1848,Thomas Harris,Fiction,2009,11.18,162,Hardcover,True,HarperCollins
74,978-0-6738-4534-0,Ancient Dream,1882,Sarah Taylor,Fiction,2023,33.1,174,Hardcover,True,Macmillan
75,978-0-7316-4759-4,A Light,1990,Barbara Thomas,Biography,2010,10.07,214,Paperback,True,HarperCollins
76,978-8-1243-5365-5,Ancient Vision,1632,William Robinson,Fiction,2008,17.32,258,eBook,False,Macmillan
77,978-7-8259-5915-5,Lost Story of the Night,1024,Barbara Lopez,Fiction,1995,9.8,383,Hardcover,True,HarperCollins
78,978-6-5062-9179-9,A Journey at Midnight,398,Emma White,Thriller,2007,5.65,309,Paperback,True,Hachette
79,978-6-3495-9674-4,Ancient Tale Through Time,1877,Barbara Clark,Fantasy,2006,13.76,447,Audiobook,True,Penguin Random House
80,978-2-5182-5937-6,Modern Tale,621,Emma Wilson,Fiction,2020,10.54,351,Paperback,True,HarperCollins
81,978-5-9065-4776-7,First Journey Through Time,1765,Isabella Robinson,Mystery,2004,6.81,672,eBook,True,Macmillan
82,978-8-6928-4214-0,The Memory of the Dawn,451,Patricia Clark,Romance,2015,10.07,616,Paperback,True,Macmillan
83,978-7-6610-4182-2,Dark Chronicles Under Stars,87,Sarah Smith,History,2002,8.99,554,Audiobook,True,Hachette
84,978-1-5864-5310-5,Forgotten Shadow in the Light,15,Sophia Moore,Fiction,2007,9.96,263,Hardcover,True,Simon & Schuster
85,978-6-2480-6013-3,Broken Echo at Sunrise,148,Mason Thomas,Thriller,2011,9.75,656,eBook,True,Macmillan
86,978-0-6993-1248-5,Modern Mystery Before Dawn,1734,Isabella Thomas,Mystery,2014,9.73,255,Hardcover,True,Penguin Random House
87,978-1-5652-3428-8,A Shadow in the Dark,105,Jennifer Moore,Thriller,2003,9.9,589,Audiobook,True,HarperCollins
88,978-6-8256-1702-9,The Memory Beyond Time,140,Mary Hernandez,Fantasy,1998,38.85,316,Audiobook,True,Hachette
89,978-0-2037-5574-3,Secret Saga Beyond Time,1878,William Brown,Thriller,2002,7.91,353,eBook,True,Macmillan
90,978-0-5738-7207-3,A Dream,314,Liam Martinez,Science Fiction,1999,9.39,680,Hardcover,True,Hachette
91,978-3-9752-4715-1,An Tale of Yesterday,495,Jennifer Thomas,Mystery,2008,11.72,230,Hardcover,True,Simon & Schuster
92,978-5-5765-7813-7,Forgotten Journey of the Night,1132,Joseph Davis,Romance,2002,4.44,662,eBook,True,Hachette
93,978-9-5106-5001-7,Ancient Dream Under Stars,359,Susan Davis,Biography,2013,5.75,402,Audiobook,True,Independent Press
94,978-2-6541-8607-7,Bright Vision Beyond Time,12,Oliver Smith,Thriller,2017,7.14,424,Paperback,True,Independent Press
95,978-5-8610-9378-4,Dark Shadow,1037,Isabella Jackson,Non-Fiction,2003,6.48,532,Paperback,True,HarperCollins
96,978-2-9091-7137-7,Lost Light Before Dawn,1422,Richard Taylor,Fiction,2012,23.42,230,Hardcover,True,Hachette
97,978-0-8532-8434-7,Bright Dream Through Time,1604,Noah Robinson,Romance,2004,12.13,672,Paperback,True,Independent Press
98,978-2-6211-7200-7,A Shadow,1374,Elizabeth Anderson,Non-Fiction,2003,4.55,610,Paperback,True,Independent Press
99,978-2-3368-7784-0,The Mystery Before Dawn,1498,Linda Martinez,Romance,1999,37.19,516,Hardcover,True,Simon & Schuster
100,978-3-2059-7291-0,Silent Echo Through Time,1539,Elizabeth Lee,Fiction,2020,25.35,387,Paperback,True,Simon & Schuster
101,978-4-9057-9566-4,An Vision in the Dark,1356,Noah Martin,Fiction,2000,12.8,168,Paperback,True,Independent Press
102,978-2-6676-8781-8,Silent Shadow,273,Liam Lewis,Science Fiction,1998,7.53,696,Hardcover,True,Simon & Schuster
103,978-1-3834-5737-5,Bright Saga,1333,Thomas Lopez,Biography,2007,15.95,749,Paperback,True,Penguin Random House
104,978-8-6646-7649-7,Ancient Dream of Yesterday,1785,Thomas Anderson,Fiction,2007,21.56,264,Paperback,True,Macmillan
105,978-8-3471-2234-4,Hidden Shadow Before Dawn,432,John Thomas,Romance,2011,9.88,723,Paperback,True,Hachette
106,978-0-6225-3211-1,An Tale of Yesterday,768,Oliver Lewis,Self-Help,2000,36.05,591,Hardcover,True,Hachette
107,978-8-1991-3609-6,A Journey Through Time,1253,Jennifer Moore,Fantasy,2016,10.19,546,eBook,False,Hachette
108,978-8-7229-9666-1,Broken Echo of Tomorrow,1384,Robert Clark,Fiction,1993,10.04,587,eBook,True,HarperCollins
109,978-1-7306-1953-0,Hidden Legend of the Night,22,David Rodriguez,Thriller,2006,13.41,688,eBook,True,HarperCollins
110,978-1-3877-6650-0,Broken Shadow,1470,Mia Thompson,Fantasy,2017,10.85,437,Paperback,False,Hachette
111,978-5-1014-5301-9,Secret Vision,390,Robert White,Romance,1995,4.27,165,Paperback,True,Independent Press
112,978-3-1987-9819-9,Hidden Journey Beyond Time,1339,Thomas Johnson,Science Fiction,2009,28.13,783,eBook,True,Independent Press
113,978-7-6453-6503-5,Broken Light at Sunrise,1639,John Thomas,Romance,2000,7.34,735,Audiobook,True,Simon & Schuster
114,978-4-1970-5492-2,Modern Shadow of the Night,930,Elizabeth Lopez,History,2001,25.9,586,Audiobook,True,HarperCollins
115,978-6-1489-7590-0,The Legend,790,Jennifer Rodriguez,Romance,2016,4.79,671,eBook,True,Penguin Random House
116,978-6-2660-7489-6,Broken Tale,339,Noah Lee,Fiction,2013,5.92,747,Paperback,False,Simon & Schuster
117,978-9-6864-1141-2,First Chronicles of Tomorrow,1863,Emma Thompson,Fiction,2020,18.17,483,Paperback,True,Simon & Schuster
118,978-6-9324-1705-1,Ancient Memory in the Dark,308,Liam Thompson,History,2011,14.24,731,Paperback,False,Independent Press
119,978-7-9013-9652-8,Last Story at Sunrise,931,Patricia Jackson,Fiction,2011,38.15,257,Audiobook,True,Macmillan
120,978-0-3157-2593-5,Silent Journey,1076,Elizabeth Gonzalez,Fantasy,2023,12.98,744,Hardcover,True,Independent Press
121,978-2-4826-3672-5,Silent Memory,1001,John Hernandez,History,2016,13.04,767,Paperback,True,HarperCollins
122,978-1-6368-8824-5,Forgotten Legend of Tomorrow,1070,Jennifer Johnson,Fiction,2010,7.42,746,eBook,True,HarperCollins
123,978-2-2683-3100-8,Modern Echo Through Time,1019,Isabella Garcia,Fiction,2007,15.36,174,Audiobook,True,Penguin Random House
124,978-6-6918-6055-3,The Memory,892,John Jones,Thriller,2018,34.7,294,eBook,True,Independent Press
125,978-7-5484-2158-0,Secret Vision in the Dark,1960,Isabella Davis,Romance,2022,12.91,397,Paperback,True,Penguin Random House
126,978-7-2567-6406-0,Dark Legend Before Dawn,1340,Mia Brown,Fiction,1995,12.34,381,Paperback,True,Penguin Random House
127,978-4-7381-1030-6,An Vision,42,Richard Rodriguez,Fiction,2013,15.34,684,Hardcover,True,Simon & Schuster
128,978-1-9231-8036-4,Forgotten Journey at Midnight,489,Joseph Davis,Mystery,2003,15.09,162,Paperback,False,Macmillan
129,978-5-7675-1862-2,Hidden Chronicles,91,William Clark,Biography,2002,16.63,723,Paperback,True,Independent Press
130,978-5-8187-5020-1,A Saga of the Night,1412,James Brown,Fantasy,1995,13.47,666,Audiobook,True,Independent Press
131,978-1-5808-6759-2,A Quest,1528,Mary Brown,Non-Fiction,2007,13.36,738,eBook,True,Hachette
132,978-4-2860-8260-0,Modern Mystery of the Dawn,689,Richard Davis,Fantasy,1997,19.52,616,eBook,False,Simon & Schuster
133,978-4-6378-7297-8,Hidden Memory Beyond Time,543,Ava Clark,Science Fiction,1996,6.94,190,eBook,True,Independent Press
134,978-3-2765-4843-1,Hidden Story,1564,Sophia Garcia,Mystery,1995,6.12,155,Paperback,True,Macmillan
135,978-9-8198-4560-8,A Journey of the Night,1492,Noah Lee,Fantasy,2023,8.32,398,eBook,True,Hachette
136,978-4-4645-6965-1,A Mystery Before Dawn,122,Thomas Martin,Fantasy,2004,22.35,476,Hardcover,True,Macmillan
137,978-4-5813-2687-5,A Saga in the Light,1322,Oliver Williams,Fiction,1996,8.1,750,eBook,True,HarperCollins
138,978-2-5634-8482-6,Last Tale of Yesterday,1089,Emma Thompson,Self-Help,2012,9.14,600,Hardcover,True,Penguin Random House
139,978-4-4504-5905-4,Modern Tale Through Time,97,William Taylor,Self-Help,1990,7.88,545,eBook,True,Independent Press
140,978-8-4468-9666-3,Dark Echo in the Light,362,Joseph Johnson,Mystery,1996,25.25,345,Paperback,True,HarperCollins
141,978-5-7982-3465-9,Dark Story Beyond Time,916,John Robinson,Thriller,2005,8.79,473,Paperback,False,Hachette
142,978-8-6589-6562-6,Bright Tale of the Night,1456,Elizabeth Lewis,Mystery,2012,7.43,529,eBook,True,Penguin Random House
143,978-8-9980-1787-0,Broken Chronicles,1966,Ava Gonzalez,Romance,1994,4.24,735,eBook,True,Hachette
144,978-2-4670-2332-6,Dark Light,1051,Mary Johnson,History,2011,25.64,208,Paperback,True,Macmillan
145,978-7-4250-9877-8,Silent Mystery of Yesterday,1300,Robert Williams,Fiction,2004,10.81,420,Paperback,True,Penguin Random House
146,978-3-4014-9884-7,Silent Journey of the Night,793,Liam Hernandez,Thriller,2001,16.94,439,Hardcover,True,HarperCollins
147,978-6-3162-1141-9,Hidden Dream,1497,Sarah Martinez,Fiction,2009,4.62,304,Paperback,True,Independent Press
148,978-8-2719-8456-7,A Quest,92,Ava Hernandez,Science Fiction,2020,48.99,272,Hardcover,False,Hachette
149,978-7-1492-1562-0,Broken Light of Tomorrow,486,William Hernandez,Mystery,2015,6.22,663,Paperback,True,Penguin Random House
150,978-2-3242-2637-8,Modern Chronicles of the Night,647,William Moore,Mystery,2018,34.76,500,Paperback,True,Penguin Random House
151,978-5-7393-7471-0,Broken Memory,1435,Mary Johnson,Fiction,2001,16.48,516,Paperback,True,Simon & Schuster
152,978-2-4580-3946-1,Last Shadow of the Night,1143,Jennifer Robinson,Non-Fiction,1998,11.14,342,Paperback,True,Hachette
153,978-0-2590-1331-3,Secret Legend Before Dawn,954,Richard Williams,Fiction,1994,4.24,468,Hardcover,False,Penguin Random House
154,978-5-6410-2167-3,Lost Mystery in the Light,284,Noah Miller,Biography,1997,13.61,637,Paperback,True,HarperCollins
155,978-6-4858-8548-3,Bright Tale,626,David Thompson,Fantasy,1996,12.22,780,Hardcover,True,Macmillan
156,978-7-4237-8344-2,The Quest,1121,Jennifer Garcia,Mystery,2023,10.11,798,Hardcover,True,Hachette
157,978-4-7163-5373-9,Modern Tale Before Dawn,419,Emma Jackson,Science Fiction,1996,4.29,269,Paperback,True,Macmillan
158,978-9-7930-9580-6,Last Shadow,1676,Linda Harris,Fiction,2008,6.95,231,eBook,True,Penguin Random House
159,978-2-2832-7511-3,An Legend of the Dawn,208,Linda Rodriguez,Fantasy,2003,7.87,626,Paperback,True,Independent Press
160,978-2-5713-7466-9,First Journey,1547,Mary Robinson,Thriller,1993,11.04,224,Paperback,True,Independent Press
161,978-6-2117-6335-8,First Memory,1093,Richard Jones,Fiction,2002,5.74,225,Paperback,True,Penguin Random House
162,978-3-1904-3507-7,Silent Vision,1804,Thomas Rodriguez,Fantasy,2004,4.49,346,eBook,True,Simon & Schuster
163,978-2-4879-7625-5,Silent Chronicles in the Light,229,Noah Brown,Fiction,2009,7.72,789,eBook,True,Hachette
164,978-4-9662-9399-6,Lost Tale of the Night,585,Noah Davis,Biography,2015,16.82,696,Paperback,True,Penguin Random House
165,978-4-6882-8340-6,Dark Shadow in the Dark,1064,Thomas Jones,Fantasy,2021,9.51,352,Paperback,True,Penguin Random House
166,978-2-7378-8600-7,Last Saga,1771,Jennifer Jones,Technology,2010,11.37,685,eBook,True,Simon & Schuster
167,978-6-4188-8639-2,Dark Mystery,391,Michael Williams,Mystery,2008,10.11,451,eBook,True,Penguin Random House
168,978-4-8028-5781-5,Dark Tale at Midnight,275,Jennifer Lewis,Fantasy,1994,8.49,591,Paperback,True,Independent Press
169,978-8-4900-7383-9,Dark Quest Beyond Time,1089,Emma Thompson,Fiction,2011,8.89,217,Paperback,True,Simon & Schuster
170,978-4-4706-1857-2,Broken Mystery,854,Isabella Moore,Mystery,2002,9.61,192,eBook,True,HarperCollins
171,978-1-8861-2303-7,Hidden Memory Through Time,504,Susan Thomas,Mystery,2019,8.49,654,Paperback,True,Independent Press
172,978-3-2948-7654-5,Ancient Shadow Through Time,741,Ava Rodriguez,Fiction,2023,20.18,669,Paperback,True,Independent Press
173,978-5-4128-2453-7,Ancient Quest of the Night,1140,Elizabeth Clark,Thriller,2020,20.08,399,Audiobook,True,Hachette
174,978-9-5993-3496-6,Broken Memory,1489,David Moore,Fiction,2004,6.13,741,Hardcover,True,Macmillan
175,978-0-2483-4342-7,An Chronicles of Tomorrow,1577,David Davis,Fiction,2016,15.97,719,eBook,True,Penguin Random House
176,978-3-1945-6507-9,Ancient Journey of Tomorrow,733,Noah Lewis,Self-Help,2012,6.89,371,Paperback,True,Hachette
177,978-4-5722-4401-2,Hidden Quest of the Dawn,580,Jessica Martinez,Thriller,2017,13.72,276,Paperback,True,HarperCollins
178,978-5-4226-9348-1,An Memory in the Light,504,Susan Thomas,Fiction,2022,17.83,512,Paperback,False,Penguin Random House
179,978-7-4154-6411-0,Ancient Vision of the Night,74,Susan Jackson,Mystery,2011,13.79,539,Hardcover,True,Penguin Random House
180,978-7-1577-4049-4,Broken Story,211,Elizabeth Anderson,Fiction,1990,7.39,776,eBook,True,Penguin Random House
181,978-1-8220-8869-7,Modern Legend at Sunrise,654,Jennifer Martinez,History,1990,6.14,158,Paperback,True,Penguin Random House
182,978-4-1259-9437-1,Hidden Mystery of the Night,663,Thomas White,Fiction,2021,19.22,216,eBook,False,Independent Press
183,978-4-4653-3390-0,Silent Dream,1898,William Thomas,Romance,2006,22.46,466,eBook,True,Macmillan
184,978-5-5662-4358-7,An Vision at Midnight,227,Noah Robinson,Biography,2023,8.7,679,Paperback,True,Independent Press
185,978-2-9500-7087-7,Ancient Memory,1608,Mason Williams,Fantasy,2006,10.58,661,Paperback,True,Simon & Schuster
186,978-9-5946-8673-1,Ancient Echo of the Night,18,William Lewis,Self-Help,1999,8.72,554,eBook,True,Macmillan
187,978-1-3896-5642-2,Secret Tale of the Night,1262,Joseph Johnson,Fantasy,2005,11.2,176,eBook,True,HarperCollins
188,978-7-6706-9501-5,Secret Quest,1130,Elizabeth Clark,Fiction,2002,14.04,444,Hardcover,True,Macmillan
189,978-6-1136-8685-3,Silent Quest,116,Mia Williams,Science Fiction,2005,20.01,239,Hardcover,True,Penguin Random House
190,978-2-8201-7266-9,Hidden Memory at Sunrise,1382,David Harris,Fiction,2008,17.5,684,Audiobook,True,HarperCollins
191,978-1-3554-6472-6,A Chronicles of the Night,1037,Isabella Jackson,Thriller,1992,5.76,290,eBook,True,Simon & Schuster
192,978-6-9131-4210-6,Dark Story,1743,Elizabeth Rodriguez,Fantasy,1997,12.73,489,eBook,True,Simon & Schuster
193,978-6-3325-1027-2,Forgotten Light Through Time,1665,Michael Harris,Fantasy,2016,22.68,163,Paperback,True,Independent Press
194,978-0-6826-1053-3,Forgotten Story Before Dawn,1294,William Clark,History,1996,12.69,762,eBook,True,Penguin Random House
195,978-5-4977-9854-4,Dark Vision of Yesterday,564,Thomas Gonzalez,Fiction,2011,6.13,680,Paperback,True,Simon & Schuster
196,978-8-2649-9291-8,A Vision of Tomorrow,1164,James Hernandez,Self-Help,2019,8.35,559,Paperback,False,Penguin Random House
197,978-9-3888-7312-0,Secret Legend of the Night,1694,Emma Harris,Fiction,2003,44.74,776,Paperback,True,Macmillan
198,978-9-4089-2988-5,Lost Story at Midnight,825,Richard Anderson,Fiction,2018,20.28,535,eBook,True,Macmillan
199,978-7-3553-1184-8,Last Memory at Sunrise,3,William Davis,Non-Fiction,2013,4.72,560,Paperback,True,Independent Press
200,978-4-7335-6223-3,Dark Mystery,964,Emma Martin,Fantasy,2020,30.92,320,eBook,True,Macmillan
201,978-7-8968-6763-1,Broken Shadow in the Dark,270,Liam Hernandez,Science Fiction,2013,19.6,650,Hardcover,False,Penguin Random House
202,978-2-2065-1698-2,A Light in the Light,1218,Sarah Hernandez,Science Fiction,1999,15.34,602,Paperback,True,HarperCollins
203,978-2-7914-6773-9,An Vision,100,Ava Martinez,Non-Fiction,2006,7.82,484,Paperback,True,Penguin Random House
204,978-4-5331-3140-9,Forgotten Light in the Light,1292,Thomas Gonzalez,History,2004,8.8,422,Hardcover,True,Hachette
205,978-1-9104-3613-3,Forgotten Chronicles,1109,Jessica Miller,Thriller,2007,8.81,561,Hardcover,True,Independent Press
206,978-3-9093-4944-2,Modern Mystery at Sunrise,353,Richard Thomas,Romance,1998,16.28,325,Paperback,True,Macmillan
207,978-5-5638-8151-5,A Story of the Dawn,1094,Oliver White,Mystery,1997,18.8,734,Paperback,True,HarperCollins
208,978-2-6967-7059-4,First Vision Through Time,333,Noah Miller,Romance,2013,8.16,220,Paperback,True,Hachette
209,978-6-5670-2483-9,Bright Tale of the Dawn,1536,Jessica Lee,Fiction,2008,7.88,327,eBook,True,Penguin Random House
210,978-5-7201-1249-8,Ancient Saga Before Dawn,1832,Noah Johnson,Technology,2002,14.49,706,Audiobook,True,HarperCollins
211,978-2-9020-7284-2,The Legend of Yesterday,1773,Jessica Garcia,Science Fiction,2005,11.13,624,Audiobook,True,Simon & Schuster
212,978-7-1990-4573-1,Modern Quest,689,Richard Davis,Fiction,2014,10.92,357,Hardcover,True,Macmillan
213,978-0-2809-1518-8,The Journey of the Night,1830,Noah Rodriguez,Fiction,1997,4.9,591,Hardcover,True,Independent Press
214,978-8-9513-9721-2,A Chronicles of Yesterday,959,Richard Wilson,Science Fiction,1993,9.02,530,Hardcover,True,Simon & Schuster
215,978-4-7236-4259-0,Last Chronicles,1732,Michael Harris,Thriller,2016,13.15,569,Paperback,True,Independent Press
216,978-0-2080-1557-6,Modern Saga Beyond Time,1503,Jessica Lopez,Fiction,2023,14.16,204,Hardcover,True,HarperCollins
217,978-7-8207-7004-5,Lost Story of the Night,200,Emma Martin,Mystery,1999,14.98,567,Hardcover,True,Macmillan
218,978-4-9081-2650-5,Last Chronicles in the Dark,981,Elizabeth Johnson,Biography,2011,10.11,503,Hardcover,True,HarperCollins
219,978-0-6965-2318-0,Ancient Shadow,1676,Linda Harris,Non-Fiction,2014,4.78,385,eBook,True,HarperCollins
220,978-9-8698-5602-0,Modern Light,646,Mary Miller,Non-Fiction,2001,44.24,221,eBook,True,Penguin Random House
